post_date,title,author_name,blogUrl,basic_description,author_url,comments
"April 11, 2019",From The Creators Of Scrapy: Artificial Intelligence Data Extraction API,Ian Kerins,https://blog.scrapinghub.com/artificial-intelligence-data-extraction-api,"To accurately extract data from a web page, developers usually need to develop custom code for each website. This is manageable and recommended for tens or hundreds of websites and where data quality is of the utmost importance, but if you need to extract data from thousands of sites, or rapidly extract data from sites that are not yet covered by pre-existing code, this is often an...",https://blog.scrapinghub.com/author/ian-kerins,1 Comment
"April 09, 2019",Scrapinghub’s New AI Powered Developer Data Extraction API for E-Commerce & Article Extraction,Ian Kerins,https://blog.scrapinghub.com/developer-data-extraction-api-for-product-article-extraction,"Today, we’re delighted to announce the launch of the beta program for ",https://blog.scrapinghub.com/author/ian-kerins,1 Comment
"April 05, 2019",Solution Architecture Part 2: How to Define The Scope of Your Web Scraping Project,Ian Kerins,https://blog.scrapinghub.com/web-scraping-requirement-gathering,"In this the second post in our solution architecture series, we will share with you our step-by-step process for data extraction requirement gathering.",https://blog.scrapinghub.com/author/ian-kerins,1 Comment
"March 28, 2019",How to Architect a Web Scraping Solution: The Step-by-Step Guide,Ian Kerins,https://blog.scrapinghub.com/architecting-a-web-scraping-solution,"For many people (especially non-techies), trying to architect a web scraping solution for their needs and estimate the resources required to develop it, can be a tricky process.",https://blog.scrapinghub.com/author/ian-kerins,1 Comment
"March 15, 2019",St Patrick’s Day Special: Finding Dublin’s Best Pint of Guinness With Web Scraping,Ian Kerins,https://blog.scrapinghub.com/web-scraping-best-pint-of-guinness-dublin,St Patrick’s Day Special: Finding Dublin’s Best Pint of Guinness With Web Scraping,https://blog.scrapinghub.com/author/ian-kerins,1 Comment
"February 15, 2019",A Sneak Peek Inside Crawlera: The World’s Smartest Web Scraping Proxy Network,Ian Kerins,https://blog.scrapinghub.com/sneak-peek-inside-crawlera,"“How does Scrapinghub Crawlera work?” is the most common question we get asked from customers who after struggling for months (or years) with constant proxy issues, only to have them disappear completely when they switch to Crawlera. ",https://blog.scrapinghub.com/author/ian-kerins,1 Comment
"February 07, 2019",Why We Created Crawlera? The World’s Smartest Web Scraping Proxy Network,Ian Kerins,https://blog.scrapinghub.com/the-crawlera-story,"Let’s face it, managing your proxy pool can be an absolute pain and the biggest bottleneck to the reliability of your web scraping! ",https://blog.scrapinghub.com/author/ian-kerins,1 Comment
"July 07, 2017",Scraping the Steam Game Store with Scrapy,Andre Perunicic,https://blog.scrapinghub.com/2017/07/07/scraping-the-steam-game-store-with-scrapy,This is a guest post from the folks over at ,https://blog.scrapinghub.com/author/andre-perunicic,1 Comment
"December 15, 2016",How to Increase Sales with Online Reputation Management,Cecilia Haynes,https://blog.scrapinghub.com/2016/12/15/how-to-increase-sales-with-online-reputation-management,One negative review can cost your business up to 22% of its prospects. This was one of the sobering findings in ,https://blog.scrapinghub.com/author/cecilia-haynes,1 Comment
"November 24, 2016",How to Build your own Price Monitoring Tool,Valdir Stumm Jr,https://blog.scrapinghub.com/2016/11/24/how-to-build-your-own-price-monitoring-tool,"Computers are great at repetitive tasks. They don't get distracted, bored, or tired. ",https://blog.scrapinghub.com/author/valdir-stumm-jr,1 Comment
